mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_tfidf__sublinear_tf,param_tfidf__ngram_range,param_tfidf__min_df,param_tfidf__max_df,param_clf__penalty,param_clf__dual,param_clf__C,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
13.830031776428223,0.37357072458446144,1.7694666385650635,0.16558510664228926,True,"(1, 2)",10,0.7,l2,False,1.0,"{'tfidf__sublinear_tf': True, 'tfidf__ngram_range': (1, 2), 'tfidf__min_df': 10, 'tfidf__max_df': 0.7, 'clf__penalty': 'l2', 'clf__dual': False, 'clf__C': 1}",0.7215179741013701,0.7160093851573404,0.7017135924957043,0.7156575419899021,0.7355759283292513,0.7180948844147137,0.01091733584286002,55
35.71939282417297,2.2670761447699075,2.1910197734832764,0.05002078884678937,True,"(1, 3)",25,0.9,l1,False,1.0,"{'tfidf__sublinear_tf': True, 'tfidf__ngram_range': (1, 3), 'tfidf__min_df': 25, 'tfidf__max_df': 0.9, 'clf__penalty': 'l1', 'clf__dual': False, 'clf__C': 1}",0.7360743422466057,0.7410450028630706,0.7279464739217277,0.742034316550258,0.7531647620509451,0.7400529795265214,0.008236815892487882,5
12.956607007980347,0.45644748193487045,1.7857987880706787,0.2145323710179412,True,"(1, 2)",25,0.6,l2,False,1000.0,"{'tfidf__sublinear_tf': True, 'tfidf__ngram_range': (1, 2), 'tfidf__min_df': 25, 'tfidf__max_df': 0.6, 'clf__penalty': 'l2', 'clf__dual': False, 'clf__C': 1000}",0.6916001669492235,0.689266264771833,0.6798134944934738,0.6945549464880455,0.7087760775882844,0.692802190058172,0.009390325634231988,107
101.11684546470642,0.815055360006942,2.3124492168426514,0.09667877034963913,True,"(1, 3)",50,0.6,l1,False,1000.0,"{'tfidf__sublinear_tf': True, 'tfidf__ngram_range': (1, 3), 'tfidf__min_df': 50, 'tfidf__max_df': 0.6, 'clf__penalty': 'l1', 'clf__dual': False, 'clf__C': 1000}",0.6713951308694176,0.6843404487783642,0.6649364566993587,0.6807442599445617,0.6860927478439505,0.6775018088271306,0.008077924344735777,129
23.750129556655885,0.4717621928439027,2.5927793979644775,0.1872437010329527,True,"(1, 3)",5,0.7,l1,False,0.5,"{'tfidf__sublinear_tf': True, 'tfidf__ngram_range': (1, 3), 'tfidf__min_df': 5, 'tfidf__max_df': 0.7, 'clf__penalty': 'l1', 'clf__dual': False, 'clf__C': 0.5}",0.7144331179114433,0.7182738968066721,0.7134398863914362,0.7171541860557131,0.7452493678439643,0.7217100910018457,0.011899679628725497,36
97.71629176139831,0.8485928949860289,1.5688345432281494,0.07125029767822841,True,"(1, 2)",100,0.9,l1,False,1000.0,"{'tfidf__sublinear_tf': True, 'tfidf__ngram_range': (1, 2), 'tfidf__min_df': 100, 'tfidf__max_df': 0.9, 'clf__penalty': 'l1', 'clf__dual': False, 'clf__C': 1000}",0.6403339322934405,0.6555964814151874,0.6328703211429383,0.6486627079865936,0.6446913099387751,0.6444309505553869,0.007656087099778119,152
38.014648580551146,1.7949772406594728,2.093703269958496,0.24957966587459177,True,"(1, 2)",5,0.8,l2,False,100.0,"{'tfidf__sublinear_tf': True, 'tfidf__ngram_range': (1, 2), 'tfidf__min_df': 5, 'tfidf__max_df': 0.8, 'clf__penalty': 'l2', 'clf__dual': False, 'clf__C': 100}",0.7168797703457781,0.7130518317750509,0.7068535932672537,0.722608838190478,0.7353070655413914,0.7189402198239904,0.009657510101939396,49
16.04336795806885,0.17788767421383536,1.923608160018921,0.1722830011511438,True,"(1, 2)",5,0.7,l2,False,0.5,"{'tfidf__sublinear_tf': True, 'tfidf__ngram_range': (1, 2), 'tfidf__min_df': 5, 'tfidf__max_df': 0.7, 'clf__penalty': 'l2', 'clf__dual': False, 'clf__C': 0.5}",0.724177780027816,0.7128467631686346,0.7061595292972049,0.7214902828668045,0.7404351648009374,0.7210219040322794,0.011617028334388841,39
31.1125346660614,1.5170052483128598,1.3959238529205322,0.043046148536365264,True,"(1, 2)",100,0.7,l1,False,1.0,"{'tfidf__sublinear_tf': True, 'tfidf__ngram_range': (1, 2), 'tfidf__min_df': 100, 'tfidf__max_df': 0.7, 'clf__penalty': 'l1', 'clf__dual': False, 'clf__C': 1}",0.7037030352694862,0.7014183822726203,0.6859919740180802,0.7198158959398954,0.72879768731695,0.7079453949634065,0.014955126823076082,89
9.283562994003296,0.11449293380458939,1.416846513748169,0.03502953027964812,True,"(1, 2)",50,0.7,l1,False,0.001,"{'tfidf__sublinear_tf': True, 'tfidf__ngram_range': (1, 2), 'tfidf__min_df': 50, 'tfidf__max_df': 0.7, 'clf__penalty': 'l1', 'clf__dual': False, 'clf__C': 0.001}",0.08639652677279305,0.08639652677279305,0.08642779587404995,0.08654124457308249,0.08642779587404995,0.0864379779733537,5.3493448136844986e-05,185
