mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_tfidf__sublinear_tf,param_tfidf__ngram_range,param_tfidf__min_df,param_tfidf__max_df,param_clf__alpha,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
12.404215955734253,0.07122272055328305,1.532820224761963,0.016521737444969865,True,"(1, 3)",5,0.9,100.0,"{'tfidf__sublinear_tf': True, 'tfidf__ngram_range': (1, 3), 'tfidf__min_df': 5, 'tfidf__max_df': 0.9, 'clf__alpha': 100}",-2.0694078407616825,-2.016759382533696,-2.064725864960195,-2.055995777132491,-2.0493269466462003,-2.051243162406853,0.01858563483870485,95
12.562378692626954,0.08426121764583051,1.4355203628540039,0.015879233806901216,True,"(1, 3)",100,0.5,5.0,"{'tfidf__sublinear_tf': True, 'tfidf__ngram_range': (1, 3), 'tfidf__min_df': 100, 'tfidf__max_df': 0.5, 'clf__alpha': 5}",-1.1956467130545003,-1.1204563976674184,-1.1730310563653221,-1.18683042387618,-1.1999017966417713,-1.1751732775210386,0.028862003859704354,38
6.493342494964599,0.06398548652703354,1.1216259002685547,0.014466243813684346,True,"(1, 2)",5,0.6,0.5,"{'tfidf__sublinear_tf': True, 'tfidf__ngram_range': (1, 2), 'tfidf__min_df': 5, 'tfidf__max_df': 0.6, 'clf__alpha': 0.5}",-1.0676587668793505,-1.0103608152947356,-1.0621117613642201,-1.084365209736375,-1.078245741254144,-1.0605484589057652,0.02627634444868291,9
6.100801229476929,0.04966783207090318,1.0224390506744385,0.014090434195366701,True,"(1, 2)",10,0.7,100.0,"{'tfidf__sublinear_tf': True, 'tfidf__ngram_range': (1, 2), 'tfidf__min_df': 10, 'tfidf__max_df': 0.7, 'clf__alpha': 100}",-2.0496466734876804,-1.9969123061091665,-2.0452239556701883,-2.0375703652888393,-2.030699446376867,-2.0320105493865483,0.01870905772108639,94
6.864225816726685,0.07357131963320789,1.1178701400756836,0.040023262495001724,True,"(1, 2)",10,0.6,0.1,"{'tfidf__sublinear_tf': True, 'tfidf__ngram_range': (1, 2), 'tfidf__min_df': 10, 'tfidf__max_df': 0.6, 'clf__alpha': 0.1}",-1.1421758241883215,-1.0857585085867916,-1.131041050846148,-1.1544573736646022,-1.14764206776289,-1.1322149650097506,0.02446025092079989,36
6.454292106628418,0.031481511275961084,1.018920660018921,0.03191786972951744,True,"(1, 2)",100,0.6,0.5,"{'tfidf__sublinear_tf': True, 'tfidf__ngram_range': (1, 2), 'tfidf__min_df': 100, 'tfidf__max_df': 0.6, 'clf__alpha': 0.5}",-1.2012305932589284,-1.1245038568253158,-1.2034249603884608,-1.1971426289724132,-1.2243851297744084,-1.1901374338439052,0.034144869058384646,45
6.623202896118164,0.04393772237387919,1.143948459625244,0.011589120501455632,True,"(1, 2)",5,0.9,1.0,"{'tfidf__sublinear_tf': True, 'tfidf__ngram_range': (1, 2), 'tfidf__min_df': 5, 'tfidf__max_df': 0.9, 'clf__alpha': 1}",-1.0954927785847666,-1.034042135240247,-1.0896575155993704,-1.1084995973736127,-1.1017514765964926,-1.085888700678898,0.026673540954518876,25
13.739593601226806,0.06982314572066506,1.4679128646850585,0.023242387881601344,True,"(1, 3)",100,0.9,100.0,"{'tfidf__sublinear_tf': True, 'tfidf__ngram_range': (1, 3), 'tfidf__min_df': 100, 'tfidf__max_df': 0.9, 'clf__alpha': 100}",-1.8996191324445943,-1.8394697211397404,-1.8890817025021918,-1.8890917427765992,-1.8824863971183785,-1.879949739196301,0.020971030062023374,82
17.293888807296753,0.7549474498482222,1.917349910736084,0.10007602948402265,True,"(1, 3)",10,0.7,0.0,"{'tfidf__sublinear_tf': True, 'tfidf__ngram_range': (1, 3), 'tfidf__min_df': 10, 'tfidf__max_df': 0.7, 'clf__alpha': 0}",-1.2000533059670728,-1.136490759650791,-1.1924051281004118,-1.2097923161623552,-1.1926877947251817,-1.1862858609211626,0.025690769855599874,43
16.102947664260864,0.37604673111616715,1.8174293994903565,0.01781647464764182,True,"(1, 3)",10,0.7,0.1,"{'tfidf__sublinear_tf': True, 'tfidf__ngram_range': (1, 3), 'tfidf__min_df': 10, 'tfidf__max_df': 0.7, 'clf__alpha': 0.1}",-1.1224724217930462,-1.0645669211610087,-1.1183665819347202,-1.1341613243401216,-1.119602247351466,-1.1118338993160726,0.024285314352521237,32
