mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_tfidf__sublinear_tf,param_tfidf__ngram_range,param_tfidf__min_df,param_tfidf__max_df,param_clf__n_estimators,param_clf__min_samples_split,param_clf__min_samples_leaf,param_clf__max_features,param_clf__max_depth,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
16.97854561805725,0.10780573073782665,2.030125617980957,0.012748620858938967,True,"(1, 3)",100,0.9,500,0.6,0.2,log2,16,"{'tfidf__sublinear_tf': True, 'tfidf__ngram_range': (1, 3), 'tfidf__min_df': 100, 'tfidf__max_df': 0.9, 'clf__n_estimators': 500, 'clf__min_samples_split': 0.6, 'clf__min_samples_leaf': 0.2, 'clf__max_features': 'log2', 'clf__max_depth': 16}",-2.2327607529695688,-2.1882469872595527,-2.2303466173908704,-2.2188095741193257,-2.2171964023104254,-2.217472066809948,0.01584593429617817,121
17.123077583312988,0.042357438152361676,2.193607950210571,0.023962597007500943,True,"(1, 3)",100,0.7,700,0.4,0.5,log2,1,"{'tfidf__sublinear_tf': True, 'tfidf__ngram_range': (1, 3), 'tfidf__min_df': 100, 'tfidf__max_df': 0.7, 'clf__n_estimators': 700, 'clf__min_samples_split': 0.4, 'clf__min_samples_leaf': 0.5, 'clf__max_features': 'log2', 'clf__max_depth': 1}",-2.2381761369729762,-2.1910958609585434,-2.234378585425007,-2.2232478759183687,-2.2219318129153085,-2.221766054438041,0.016560499905152216,331
11.519690942764282,0.04614499764806062,1.401483917236328,0.08055413042462187,True,"(1, 2)",50,0.9,300,0.5,0.30000000000000004,0.1,18,"{'tfidf__sublinear_tf': True, 'tfidf__ngram_range': (1, 2), 'tfidf__min_df': 50, 'tfidf__max_df': 0.9, 'clf__n_estimators': 300, 'clf__min_samples_split': 0.5, 'clf__min_samples_leaf': 0.30000000000000004, 'clf__max_features': 0.1, 'clf__max_depth': 18}",-2.1875593201769403,-2.138197933955493,-2.180015218420813,-2.1665845189927984,-2.1735212557583403,-2.169175649460877,0.01697452628712524,55
18.49343662261963,0.16580546615917177,2.816451072692871,0.05848728974365557,True,"(1, 3)",10,0.7,200,1.0,0.1,log2,19,"{'tfidf__sublinear_tf': True, 'tfidf__ngram_range': (1, 3), 'tfidf__min_df': 10, 'tfidf__max_df': 0.7, 'clf__n_estimators': 200, 'clf__min_samples_split': 1.0, 'clf__min_samples_leaf': 0.1, 'clf__max_features': 'log2', 'clf__max_depth': 19}",-2.2381824012214198,-2.1910794083845215,-2.2343876837573444,-2.2230335501707157,-2.222036574926951,-2.2217439236921903,0.016565925825728793,216
19.285871505737305,0.06295968950861672,2.3633496284484865,0.059216434715503544,True,"(1, 3)",25,0.6,100,0.9,0.30000000000000004,0.1,29,"{'tfidf__sublinear_tf': True, 'tfidf__ngram_range': (1, 3), 'tfidf__min_df': 25, 'tfidf__max_df': 0.6, 'clf__n_estimators': 100, 'clf__min_samples_split': 0.9, 'clf__min_samples_leaf': 0.30000000000000004, 'clf__max_features': 0.1, 'clf__max_depth': 29}",-2.2381888714020537,-2.191091778258224,-2.2344083272438198,-2.222952467113649,-2.2220115733515864,-2.2217306034738664,0.016564472636364368,186
8.24745421409607,0.1390697360366562,2.4700992107391357,0.03448036677996271,True,"(1, 2)",10,0.7,600,0.1,0.2,log2,18,"{'tfidf__sublinear_tf': True, 'tfidf__ngram_range': (1, 2), 'tfidf__min_df': 10, 'tfidf__max_df': 0.7, 'clf__n_estimators': 600, 'clf__min_samples_split': 0.1, 'clf__min_samples_leaf': 0.2, 'clf__max_features': 'log2', 'clf__max_depth': 18}",-2.2376103887759813,-2.189800307878339,-2.234135476090121,-2.221889913601975,-2.221386979195851,-2.2209646131084533,0.01686891800825628,149
16.538923263549805,0.20403015619798706,1.8013532161712646,0.020600004052151184,True,"(1, 3)",50,0.9,100,0.5,0.2,0.1,27,"{'tfidf__sublinear_tf': True, 'tfidf__ngram_range': (1, 3), 'tfidf__min_df': 50, 'tfidf__max_df': 0.9, 'clf__n_estimators': 100, 'clf__min_samples_split': 0.5, 'clf__min_samples_leaf': 0.2, 'clf__max_features': 0.1, 'clf__max_depth': 27}",-2.1410162793687513,-2.094638858770005,-2.1559365991581037,-2.1347597242041503,-2.1368354286998263,-2.1326373780401675,0.020391543058250212,34
15.63610224723816,0.06526535896810205,2.935379409790039,0.03672895400386108,True,"(1, 3)",5,0.6,400,0.30000000000000004,0.4,sqrt,17,"{'tfidf__sublinear_tf': True, 'tfidf__ngram_range': (1, 3), 'tfidf__min_df': 5, 'tfidf__max_df': 0.6, 'clf__n_estimators': 400, 'clf__min_samples_split': 0.30000000000000004, 'clf__min_samples_leaf': 0.4, 'clf__max_features': 'sqrt', 'clf__max_depth': 17}",-2.238163643402413,-2.1911088308773135,-2.2343738474967423,-2.223283621800354,-2.2219465519211106,-2.2217752990995865,0.01655317425045523,393
17.303253650665283,0.2564807912074433,4.321479606628418,0.05208465524184964,True,"(1, 3)",5,0.6,1000,0.5,0.30000000000000004,log2,19,"{'tfidf__sublinear_tf': True, 'tfidf__ngram_range': (1, 3), 'tfidf__min_df': 5, 'tfidf__max_df': 0.6, 'clf__n_estimators': 1000, 'clf__min_samples_split': 0.5, 'clf__min_samples_leaf': 0.30000000000000004, 'clf__max_features': 'log2', 'clf__max_depth': 19}",-2.238170000116111,-2.1910207983460355,-2.2342722675781146,-2.223289037153162,-2.2218064536073494,-2.2217117113601548,0.016571493087044923,174
14.957698583602905,0.23829901146697197,1.7732706546783448,0.01504553370589871,True,"(1, 3)",50,0.9,50,0.7000000000000001,0.30000000000000004,sqrt,9,"{'tfidf__sublinear_tf': True, 'tfidf__ngram_range': (1, 3), 'tfidf__min_df': 50, 'tfidf__max_df': 0.9, 'clf__n_estimators': 50, 'clf__min_samples_split': 0.7000000000000001, 'clf__min_samples_leaf': 0.30000000000000004, 'clf__max_features': 'sqrt', 'clf__max_depth': 9}",-2.237996102107709,-2.191144861471593,-2.2344104241378675,-2.2230656388253243,-2.221740694180631,-2.2216715441446246,0.016508160969039124,162
16.06748971939087,0.12299967706644543,2.98637433052063,0.022345592892733218,True,"(1, 3)",10,0.8,600,0.9,0.4,sqrt,28,"{'tfidf__sublinear_tf': True, 'tfidf__ngram_range': (1, 3), 'tfidf__min_df': 10, 'tfidf__max_df': 0.8, 'clf__n_estimators': 600, 'clf__min_samples_split': 0.9, 'clf__min_samples_leaf': 0.4, 'clf__max_features': 'sqrt', 'clf__max_depth': 28}",-2.238107395139871,-2.191114976293576,-2.2343946488674797,-2.2233155461118543,-2.2220102162742363,-2.221788556537404,0.01654368406578007,454
14.755510377883912,0.16597042462556114,1.8911447525024414,0.006466481442528722,True,"(1, 3)",50,0.5,50,0.4,0.5,log2,8,"{'tfidf__sublinear_tf': True, 'tfidf__ngram_range': (1, 3), 'tfidf__min_df': 50, 'tfidf__max_df': 0.5, 'clf__n_estimators': 50, 'clf__min_samples_split': 0.4, 'clf__min_samples_leaf': 0.5, 'clf__max_features': 'log2', 'clf__max_depth': 8}",-2.2381315990781467,-2.1911020515841613,-2.2343791494764482,-2.2237365117694474,-2.2219186984503367,-2.221853602071708,0.016559408009868652,496
8.306184530258179,0.08426873036466967,3.166080617904663,0.059549856445264795,True,"(1, 2)",5,0.7,800,1.0,0.4,log2,28,"{'tfidf__sublinear_tf': True, 'tfidf__ngram_range': (1, 2), 'tfidf__min_df': 5, 'tfidf__max_df': 0.7, 'clf__n_estimators': 800, 'clf__min_samples_split': 1.0, 'clf__min_samples_leaf': 0.4, 'clf__max_features': 'log2', 'clf__max_depth': 28}",-2.2381491645595193,-2.191114478990145,-2.23439260976384,-2.223182699461602,-2.2219592268941857,-2.221759635933858,0.016549315797461932,298
